"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.901932040E-1,1.083374023E-3,-4.196166992E-3,6.683349609E-3,7.965467890E-3
4.941910060E-1,1.083374023E-3,-6.332397461E-3,7.751464844E-3,1.006767918E-2
4.981582920E-1,2.151489258E-3,-6.332397461E-3,8.819580078E-3,1.106856614E-2
5.021255770E-1,1.083374023E-3,-6.332397461E-3,7.751464844E-3,1.006767918E-2
5.060928620E-1,2.151489258E-3,-3.128051758E-3,5.615234375E-3,6.778235088E-3
5.100601470E-1,3.204345703E-3,-5.264282227E-3,5.615234375E-3,8.337347050E-3
5.140274320E-1,4.272460938E-3,-6.332397461E-3,5.615234375E-3,9.480719232E-3
5.179947170E-1,4.272460938E-3,-6.332397461E-3,5.615234375E-3,9.480719232E-3
5.219925200E-1,6.408691406E-3,-4.196166992E-3,6.683349609E-3,1.016593847E-2
5.259598050E-1,5.340576172E-3,-4.196166992E-3,6.683349609E-3,9.528731987E-3
5.299270900E-1,7.476806641E-3,-2.075195312E-3,7.751464844E-3,1.096787492E-2
5.338943760E-1,5.340576172E-3,6.103515625E-5,5.615234375E-3,7.749602327E-3
5.378616610E-1,5.340576172E-3,1.129150391E-3,7.751464844E-3,9.480608719E-3
5.418289460E-1,3.204345703E-3,6.103515625E-5,7.751464844E-3,8.387893889E-3
5.457962310E-1,5.340576172E-3,1.129150391E-3,7.751464844E-3,9.480608719E-3
5.497940340E-1,2.151489258E-3,3.250122070E-3,8.819580078E-3,9.642468162E-3
5.537613190E-1,2.151489258E-3,1.129150391E-3,9.887695312E-3,1.018186649E-2
5.577286040E-1,1.083374023E-3,2.197265625E-3,7.751464844E-3,8.129383908E-3
5.616958890E-1,-3.173828125E-3,1.129150391E-3,9.887695312E-3,1.044579744E-2
5.656936920E-1,-1.052856445E-3,3.250122070E-3,8.819580078E-3,9.458160123E-3
5.696609770E-1,-2.120971680E-3,3.250122070E-3,7.751464844E-3,8.668738176E-3
5.736282620E-1,-2.120971680E-3,5.386352539E-3,7.751464844E-3,9.674529537E-3
5.775650300E-1,-3.173828125E-3,4.318237305E-3,6.683349609E-3,8.566651644E-3
5.815628330E-1,-5.310058594E-3,5.386352539E-3,5.615234375E-3,9.420210880E-3
5.855301180E-1,-5.310058594E-3,3.250122070E-3,4.547119141E-3,7.709494680E-3
5.895279200E-1,-2.120971680E-3,1.129150391E-3,3.494262695E-3,4.240680754E-3
5.934646880E-1,-4.241943359E-3,6.103515625E-5,4.547119141E-3,6.218850475E-3
5.974319730E-1,1.525878906E-5,6.103515625E-5,2.426147461E-3,2.426963045E-3
6.013992580E-1,-3.173828125E-3,-2.075195312E-3,2.426147461E-3,4.501756552E-3
6.053970610E-1,-5.310058594E-3,-3.128051758E-3,-7.781982422E-4,6.211845344E-3
6.093643460E-1,-4.241943359E-3,-5.264282227E-3,-1.831054688E-3,7.004249574E-3
6.133316310E-1,-3.173828125E-3,-5.264282227E-3,-7.781982422E-4,6.196083023E-3
6.172989170E-1,-2.120971680E-3,-2.075195312E-3,-1.831054688E-3,3.486791895E-3
6.212662020E-1,-1.052856445E-3,-4.196166992E-3,-1.831054688E-3,4.697774515E-3
6.252334870E-1,-2.120971680E-3,-3.128051758E-3,-2.899169922E-3,4.763235760E-3
6.292007720E-1,-1.052856445E-3,-3.128051758E-3,-3.967285156E-3,5.160674956E-3
6.331985750E-1,-2.120971680E-3,-4.196166992E-3,-2.899169922E-3,5.523723792E-3
6.371658600E-1,1.525878906E-5,-6.332397461E-3,-1.831054688E-3,6.591832196E-3
6.411636630E-1,1.525878906E-5,-7.400512695E-3,-7.781982422E-4,7.441331432E-3
6.451004300E-1,3.204345703E-3,-6.332397461E-3,-7.781982422E-4,7.139515494E-3
6.490677150E-1,1.083374023E-3,-3.128051758E-3,-1.831054688E-3,3.783010487E-3
