"Time (s),""Linear Acceleration x (m/s^2)"",""Linear Acceleration y (m/s^2)"",""Linear Acceleration z (m/s^2)"",""Absolute acceleration (m/s^2)"""
1.113868249E0,6.953558326E-2,5.221030861E-2,1.739311218E-2,8.867713356E-2
1.117835534E0,5.204029381E-2,8.988648653E-3,3.008842468E-3,5.289651329E-2
1.121802819E0,5.857212096E-2,2.325248718E-2,3.385162354E-2,7.153533344E-2
1.125770104E0,3.426302224E-2,-4.334500432E-2,-1.155376434E-2,5.644673209E-2
1.129767907E0,7.671299577E-2,2.117254585E-2,3.128910065E-2,8.551121702E-2
1.133735192E0,5.712872744E-2,-2.406800538E-2,7.287025452E-3,6.241843575E-2
1.137702477E0,4.504628479E-3,-7.251158357E-3,-4.652023315E-3,9.721743474E-3
1.141669762E0,3.283961117E-2,7.049888372E-3,-2.835464478E-2,4.395596511E-2
1.145667565E0,-1.987297088E-2,4.674218595E-3,-2.001762390E-3,2.051317488E-2
1.149634850E0,-4.627539963E-2,-9.493060410E-3,4.787158966E-2,6.725488758E-2
1.153602135E0,-4.867541790E-2,4.883259535E-3,5.697441101E-2,7.509478039E-2
1.157569421E0,-8.308589458E-3,-4.739008099E-2,8.261585236E-2,9.560455792E-2
1.161536706E0,-2.769617364E-2,-2.325188369E-2,3.917980194E-2,5.331777386E-2
1.165534509E0,-5.624666810E-2,-5.400845408E-2,1.036071777E-2,7.866349381E-2
1.169501794E0,4.137568548E-2,9.704902768E-4,-4.195976257E-2,5.893649867E-2
1.173469079E0,-2.086799592E-2,-1.799970120E-2,-2.498149872E-2,3.719593762E-2
1.177436364E0,-1.135353465E-2,-5.332893878E-2,-5.784034729E-3,5.483004212E-2
1.181434167E0,-3.970652074E-2,-2.430632710E-2,4.412174225E-2,6.414151125E-2
1.185401452E0,2.251502313E-2,-7.446020842E-3,5.563259125E-2,6.047606718E-2
1.189368737E0,4.412563518E-2,-3.789663315E-4,3.616523743E-2,5.705383154E-2
1.193336022E0,-3.642767668E-2,1.853327453E-2,-1.161861420E-2,4.249058824E-2
1.197303307E0,-4.025144130E-2,3.257805109E-2,-3.288650513E-2,6.134354211E-2
1.201301110E0,-3.750337288E-3,-9.624436498E-4,-1.835727692E-2,1.876115517E-2
1.205268395E0,3.892950714E-3,1.099354029E-2,2.927875519E-2,3.151600385E-2
1.209235680E0,-7.190464437E-2,1.803082973E-2,2.903461456E-2,7.961405369E-2
1.213202966E0,2.134507149E-2,3.216265142E-2,1.453876495E-2,4.124832008E-2
1.217200768E0,-5.031919107E-2,-3.691074252E-2,2.391910553E-2,6.683223408E-2
1.221168053E0,-1.944169402E-2,-1.048428565E-2,2.371883392E-2,3.241115232E-2
1.225135339E0,3.741950169E-2,5.845367908E-2,4.529953003E-3,6.955265760E-2
1.229102624E0,2.506749518E-2,3.418531269E-2,2.116203308E-3,4.244400116E-2
1.233100426E0,2.227805182E-2,-4.202976823E-3,-2.652168274E-3,2.282565670E-2
1.237067712E0,-3.503974900E-2,1.715826988E-2,1.873588562E-2,4.328075375E-2
1.241034997E0,-3.736763448E-2,1.451768726E-2,-2.177619934E-2,4.562133500E-2
1.245002282E0,-2.081002668E-2,3.347167373E-2,6.881713867E-3,4.000960057E-2
1.248969567E0,3.839675337E-2,-4.662156105E-3,2.820301056E-2,4.786915681E-2
1.252967370E0,-2.382366732E-2,4.922851920E-3,1.608848572E-2,2.916574992E-2
1.256934655E0,3.811566532E-2,1.323223114E-4,4.444694519E-2,5.855213394E-2
1.260901940E0,-1.672562398E-2,2.620869875E-2,-2.477264404E-2,3.975331786E-2
1.264869225E0,7.365519181E-3,-2.628382295E-2,-1.745319366E-2,3.239913874E-2
1.268867028E0,1.468507200E-2,9.603798389E-5,-1.018047333E-2,1.786904027E-2
1.272834313E0,1.239725761E-2,-2.597873658E-2,-5.344390869E-3,2.927711161E-2
1.276801598E0,-5.880336463E-2,-2.805320919E-2,3.980731964E-2,7.635077560E-2
1.280768884E0,-3.452687711E-2,-3.969601542E-2,1.810932159E-2,5.564015107E-2
1.284766686E0,2.740295418E-2,1.045355946E-2,8.455276489E-3,3.052360568E-2
1.288733971E0,-1.301241666E-2,3.173455596E-3,3.649711609E-3,1.388215411E-2
1.292701257E0,-3.381134197E-2,-1.348090172E-2,8.356094360E-3,3.734656437E-2
1.296668542E0,-3.515671194E-2,5.316313356E-2,1.066303253E-2,6.462208157E-2
1.300635827E0,-1.758390665E-2,4.874542356E-4,-1.316642761E-2,2.197239634E-2
1.304633630E0,-3.121420741E-2,-2.800771594E-2,2.018833160E-2,4.654382483E-2
1.308600915E0,-5.448508635E-2,2.212772518E-2,1.029968262E-3,5.881599860E-2
1.312568200E0,-4.441593215E-2,-8.923366666E-3,5.757331848E-3,4.566780454E-2
1.316535485E0,6.026113033E-2,1.010145992E-2,1.758766174E-2,6.358277414E-2
1.320533288E0,2.626834251E-2,2.902445942E-2,1.506423950E-2,4.194492073E-2
1.324500573E0,2.110989019E-2,1.919870824E-2,7.811546326E-3,2.958442357E-2
1.328467858E0,1.118677482E-2,7.079258561E-3,-3.260993958E-2,3.519471540E-2
1.332435143E0,6.138874218E-3,3.318068385E-2,-2.046108246E-2,3.946263363E-2
1.336432946E0,-2.976312861E-2,1.629157364E-2,-1.555538177E-2,3.732598423E-2
1.340400231E0,-1.318656839E-2,4.227484018E-2,1.781749725E-2,4.773375018E-2
1.344367516E0,-2.057233453E-2,8.638627827E-3,-1.082515717E-2,2.479981585E-2
1.348334801E0,2.201849036E-2,-1.763167977E-2,8.255004883E-3,2.939107271E-2
1.352332604E0,-9.238433093E-3,1.805328578E-2,-2.979373932E-2,3.604076409E-2
1.356299889E0,-3.552286699E-2,-1.533944160E-2,-1.055622101E-2,4.010743510E-2
1.360267175E0,1.922135800E-2,-1.520986110E-2,1.327323914E-2,2.787434941E-2
1.364234460E0,5.225251615E-2,-3.202944994E-3,3.675460815E-3,5.247945610E-2
1.368201745E0,1.625785604E-2,-1.501119882E-2,8.380889893E-3,2.366206433E-2
